field_code,domain_code,sub_domain,field_name,data_type,unit,vocabulary_code,required_default,allow_na,depends_on_field,depends_on_value,taxonomy_group,source_req,mvp_scope,sort_order,description
nh_sieve_used,NON_HOMOG,UNSHAKEN,Poured through a sieve,boolean,,,N,N,,,SOP,Mural,MVP,45,Sieve pouring helps for collagen and high-protein products
nh_sieve_mesh,NON_HOMOG,UNSHAKEN,Sieve mesh,text,,,N,N,nh_sieve_used,Y,SOP,Mural,MVP,46,
nh_curdling_present,NON_HOMOG,UNSHAKEN,Curdling present,boolean,,,N,Y,,,CORE,R-11,SCHEMA_READY,50,Curdled appearance
nh_smooth_after_shaking,NON_HOMOG,SHAKEN,Smooth after shaking,boolean,,,N,N,,,SOP,Team sheet,MVP,55,"""Rippling when pouring, smooth when shaken"" is the most common comment in the team sheets"
nh_spoilage_related,NON_HOMOG,FLAGS,Spoilage related,select,,TRI_STATE,N,N,,,CORE,R-11,MVP,60,Whether the non-homogeneity is related to spoilage
nh_pour_video,NON_HOMOG,GENERAL,Pour video (rippling),media_video,,,N,N,,,SOP,Mural,MVP,65,Video of the pour to monitor rippling over time
nh_photo,NON_HOMOG,GENERAL,Non-homogeneity photo,media_photo,,,N,N,,,CORE,R-11,MVP,70,Photo evidence
nh_comments,NON_HOMOG,GENERAL,Non-homogeneity comments,longtext,,,N,N,,,CORE,R-11,MVP,80,Supplementary notes
psag_vertical_stripes_present,PROTEIN_SAG,UNSHAKEN,Vertical stripes present,boolean,,,Y,Y,,,CORE,R-11,MVP,10,Vertical protein stripes on the container wall
psag_stripe_coverage,PROTEIN_SAG,UNSHAKEN,Stripe coverage,select,,COVERAGE,N,N,psag_vertical_stripes_present,Y,CORE,R-11,MVP,20,"Isolated, partial or extensive"
psag_photo,PROTEIN_SAG,GENERAL,Protein sagging photo,media_photo,,,N,N,psag_vertical_stripes_present,Y,CORE,R-11,MVP,30,Photo evidence
psag_comments,PROTEIN_SAG,GENERAL,Protein sagging comments,longtext,,,N,N,,,CORE,R-11,MVP,40,Supplementary notes
app_color_change_vs_t0,APPEARANCE_SENSORY,COLOR,Color change vs T0,select,,SEVERITY_NONE,N,Y,,,SOP,SOP-202,SCHEMA_READY,10,
app_color_method,APPEARANCE_SENSORY,COLOR,Color method,select,,COLOR_METHOD,N,N,,,SOP,SOP-202,SCHEMA_READY,20,"Visual, L*a*b* meter or DigiEye (Mural)"
app_color_l,APPEARANCE_SENSORY,COLOR,L*,number,,,N,Y,app_color_method,LAB_METER|DIGIEYE,SOP,SOP-202,SCHEMA_READY,30,
app_color_a,APPEARANCE_SENSORY,COLOR,a*,number,,,N,Y,app_color_method,LAB_METER|DIGIEYE,SOP,SOP-202,SCHEMA_READY,31,
app_color_b,APPEARANCE_SENSORY,COLOR,b*,number,,,N,Y,app_color_method,LAB_METER|DIGIEYE,SOP,SOP-202,SCHEMA_READY,32,
sens_recorded,APPEARANCE_SENSORY,SENSORY,Sensory recorded,boolean,,,N,N,,,SOP,SOP-202,SCHEMA_READY,40,Sensory on released product as needed (Mural)
sens_texture,APPEARANCE_SENSORY,SENSORY,Texture in mouth or on pour,select,,TEXTURE_SENSORY,N,N,sens_recorded,Y,SOP,Team sheet,SCHEMA_READY,41,"Smooth, slightly thicker, milkshake, pudding, lumpy, gritty"
sens_notes,APPEARANCE_SENSORY,SENSORY,Sensory notes,longtext,,,N,N,sens_recorded,Y,SOP,Team sheet,SCHEMA_READY,42,
custom1_name,CUSTOM,CUSTOM,Custom observation 1: name,text,,,N,N,,,SOP,Mural,SCHEMA_READY,10,Name of a one-off parameter for this template
custom1_unshaken,CUSTOM,CUSTOM,Custom observation 1: unshaken,text,,,N,Y,,,SOP,Mural,SCHEMA_READY,11,
custom1_shaken,CUSTOM,CUSTOM,Custom observation 1: shaken,text,,,N,Y,,,SOP,Mural,SCHEMA_READY,12,
custom2_name,CUSTOM,CUSTOM,Custom observation 2: name,text,,,N,N,,,SOP,Mural,SCHEMA_READY,20,Name of a one-off parameter for this template
custom2_unshaken,CUSTOM,CUSTOM,Custom observation 2: unshaken,text,,,N,Y,,,SOP,Mural,SCHEMA_READY,21,
custom2_shaken,CUSTOM,CUSTOM,Custom observation 2: shaken,text,,,N,Y,,,SOP,Mural,SCHEMA_READY,22,
custom3_name,CUSTOM,CUSTOM,Custom observation 3: name,text,,,N,N,,,SOP,Mural,SCHEMA_READY,30,Name of a one-off parameter for this template
custom3_unshaken,CUSTOM,CUSTOM,Custom observation 3: unshaken,text,,,N,Y,,,SOP,Mural,SCHEMA_READY,31,
custom3_shaken,CUSTOM,CUSTOM,Custom observation 3: shaken,text,,,N,Y,,,SOP,Mural,SCHEMA_READY,32,
pwd_caking,EXT_POWDER,POWDER,Caking,select,,SEVERITY_NONE,N,Y,,,EXT,OnePager,SCHEMA_READY,10,Powder caking severity
pwd_flowability,EXT_POWDER,POWDER,Flowability,select,,FLOWABILITY,N,Y,,,EXT,OnePager,SCHEMA_READY,20,Free flowing to non-flowing
pwd_color_change,EXT_POWDER,POWDER,Color change vs T0,select,,SEVERITY_NONE,N,Y,,,EXT,OnePager,SCHEMA_READY,30,Color change compared with the T0 reference
pwd_lumps_present,EXT_POWDER,POWDER,Lumps present,boolean,,,N,Y,,,EXT,OnePager,SCHEMA_READY,40,Lumps in the dry powder
pwd_wettability_s,EXT_POWDER,RECONSTITUTION,Wettability time,number,s,,N,Y,,,EXT,OnePager,SCHEMA_READY,50,Seconds for the powder to wet on the liquid surface
pwd_dissolution_s,EXT_POWDER,RECONSTITUTION,Dissolution time,number,s,,N,Y,,,EXT,OnePager,SCHEMA_READY,60,Seconds to full dissolution under standard stirring
pwd_foaming,EXT_POWDER,RECONSTITUTION,Foaming after reconstitution,select,,SEVERITY_NONE,N,Y,,,EXT,OnePager,SCHEMA_READY,70,Foam formation after reconstitution
pwd_photo,EXT_POWDER,GENERAL,Powder photo,media_photo,,,N,N,,,EXT,OnePager,SCHEMA_READY,80,Photo evidence
vms_appearance_change,EXT_VMS,TABLET,Appearance change vs T0,select,,SEVERITY_NONE,N,Y,,,EXT,OnePager,SCHEMA_READY,10,"Visible change in tablet, capsule or gummy appearance"
vms_surface_mottling,EXT_VMS,TABLET,Surface mottling,select,,SEVERITY_NONE,N,Y,,,EXT,OnePager,SCHEMA_READY,20,Mottled or spotted surface
vms_chipping_capping,EXT_VMS,TABLET,Chipping or capping,boolean,,,N,Y,,,EXT,OnePager,SCHEMA_READY,30,Physical damage to the dosage form
vms_hardness_kp,EXT_VMS,TABLET,Hardness,number,kp,,N,Y,,,EXT,OnePager,SCHEMA_READY,40,Tablet hardness
vms_disintegration_min,EXT_VMS,TABLET,Disintegration time,number,min,,N,Y,,,EXT,OnePager,SCHEMA_READY,50,Minutes to disintegration under standard method
vms_odor_change,EXT_VMS,SENSORY,Odor change vs T0,select,,SEVERITY_NONE,N,Y,,,EXT,OnePager,SCHEMA_READY,60,Odor change compared with the T0 reference
vms_capsule_leakage,EXT_VMS,CAPSULE,Capsule leakage,boolean,,,N,Y,,,EXT,OnePager,SCHEMA_READY,70,Softgel or capsule leakage
vms_photo,EXT_VMS,GENERAL,VMS photo,media_photo,,,N,N,,,EXT,OnePager,SCHEMA_READY,80,Photo evidence
